NAME,ADDRESS,PHONE,LAT,LONG
Manetta's Diner,"2654 S. Broad St, Trenton, NJ",(609) 888-0208,40.1923149,-74.713743
White Cup Diner,"131 Union Ave, Manasquan, NJ",(908) 528-1775,40.11802,-74.05257
White Crystal Diner,"20 Center Ave, Atlantic Highlands, NJ",(908) 291-9548,40.41462500000001,-74.038371
Pat's Diner,"1300 S. Broad St., Trenton, NJ",(609) 392-2024,40.2028419,-74.7396322
Tops Diner,"500 Passaic Ave, E Newark, NJ",(201) 481-0490,40.7506197,-74.1639252
Fireside Diner Restaurant,"913 Allwood Rd., Clifton, NJ",(973) 773-6145,40.8515667,-74.1724459
Clairmont Diner,"584 Route 3, Clifton, NJ",(973) 777-1819,40.8336227,-74.14568009999999
Verona Diner,"676 Bloomfield Ave, Verona, NJ",(973) 239-3560,40.8333191,-74.2489908
Stirling House Diner Seafood Pavilion,"1079 Valley Rd., Stirling, NJ",(908) 647-7105,40.6684245,-74.48425809999999
Bound Brook Diner,"502 E. Main St., Bound Brook, NJ",(999) 999-9999,40.56126099999999,-74.528578
Bambi's Diner,"1415 Jersey Ave., North Brunswick, NJ",(908) 828-4220,40.4625254,-74.483119
Matthews Colonial Diner ,"430 S. Washington Ave, Bergenfield, NJ",(201) 385-9464,40.9132385,-73.99783699999999
Golden Pigeon,"39 Landis Ave., Bridgeton, NJ",(609) 451-0940,39.463519,-75.2041026
Candlewyck Diner Restaurant,"179 Paterson Ave., East Rutherford, NJ",(201) 933-4446,40.8327032,-74.0952209
Short Stop Diner,"315 Franklin St., Bloomfield, NJ",(973) 429-1591,40.790048,-74.1940307
Blue Swan Diner,"2116 Route 35 South, Oakhurst, NJ",(732) 493-2424,40.2674825,-74.0427362
Ronnie's Cafe diner,"664 Mantoloking Rd, Brick, NJ",(908) 930-2335,40.0477404,-74.1156118
Americana Diner,"1160 Route 35 , Shrewsbury, NJ",(732) 542-1658 ,40.31250800000001,-74.0647125
Dino's Seaville Diner,"33 Route 50, Seaville, NJ",(609) 624-3100,39.2129819,-74.706344
Matthews Colonial Diner,"4 Franklin Turnpike, Waldwick, NJ",(201) 447-1411,41.0080096,-74.11835219999999
Rena's Diner,"205 Market St, Elmwood Park, NJ",(201) 796-9195,40.9008993,-74.1222623
Eagle Diner,"121 S. White Horse Pike, Hammonton, NJ",(609) 561-2343,39.645479,-74.783974
Coach House Diner,"921 Kennedy Blvd., North Bergen, NJ",(201) 864-3203,40.7603093,-74.044308
City Diner,"263 21st Ave., Paterson, NJ",(973) 279-7043,40.9076828,-74.1625442
Reo Diner &amp; Restaurant,"392 Amboy Ave, Woodbridge, NJ",(908) 634-9200,40.5541769,-74.2824413
Woodbridge Diner,"680 Amboy Ave, Woodbridge, NJ",(908) 636-1055,40.5639562,-74.286205
Gallery Diner Restaurant,"825 N. Pearl St., Bridgeton, NJ",(609) 455-1010,39.4502962,-75.2158446
Seaport Diner,"798 Dowd Ave, Elizabeth, NJ",(908) 351-4510,40.673758,-74.1910929
Willie's Diner,"9 State St, Bloomfield, NJ",(973) 748-7414,40.7956181,-74.1986082
Anapa's Restaurant &amp; Diner,"788 Ong's Hat Rd., Southampton, NJ",(609) 894-9494,39.91720309999999,-74.636358
Star Deli Diner,"559 Bound Brook Rd., Middlesex, NJ",(908) 424-1600,40.5828065,-74.4875938
Crystal Dome Diner Restaurant,"2002 Park Ave., South Plainfield, NJ",(908) 755-2811,40.59499,-74.400386
Oliver's Diner,"1332 E. State St., Trenton, NJ",(609) 586-4155,40.2290555,-74.7360624
White Crown Restaurant,"2019 Wood Ave, Linden, NJ",(908) 862-3532,40.6427038,-74.27159189999999
Don's Diner,"667 Nye Ave., Irvington, NJ",(973) 373-3055,40.7252451,-74.2301875
Colonial Diner Restaurant,"924 N. Broad, Woodbury, NJ",(609) 848-6732,39.84900570000001,-75.14403279999999
New Black Horse Diner and Restaurant,"152 N. Black Horse Pike, Mount Ephraim, NJ",(609) 7442-8988,39.8832437,-75.0863139
Little Falls Diner,"9 Paterson Ave., Little Falls, NJ",(973) 785-4838,40.881631,-74.227389
Countryside Diner,"50 4th St., Fieldsboro, NJ",(609) 298-2230,40.1330269,-74.7326322
Kenvil Diner,"405 Route 46, Kenvil, NJ",(201) 584-5599,40.879937,-74.613573
Colony Diner,"332 Bloomfield Ave., Caldwell, NJ",(973) 228-2855,40.8397686,-74.27648719999999
Cobblestone Diner Restaurant,"78 Route 35, Eatontown, NJ",(732) 542-4488,40.1972819,-74.0279632
